date,day,time,title,artists,location,image_url
17.08.2022,Wednesday,19.30,Lucerne Festival Orchestra 4,"['Lucerne Festival Orchestra ', ' Riccardo Chailly ', ' Andrè Schuen']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/02/f9/02f96800-7dc3-47e0-9387-eaefceebe42a/schuenandre_c_guido_werner.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
18.08.2022,Thursday,12.15,Debut Zoltán Despond,"['Zoltán Despond ', ' Vesselin Stanev']","Lukaskirche, Kirchensaal",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/bc/b8/bcb8d54c-296d-4952-93cd-77bf55371d37/zoltan_despond_with_vesselin_stanev_c_susan_brunner.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
18.08.2022,Thursday,19.30,Recital Igor Levit,['Igor Levit'],"KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/59/80/5980626b-fd03-4053-b215-9b0da0463e47/198-190821_19312_rezital_2_levit_cpketterer_lucernefestival_72_1.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
19.08.2022,Friday,19.30,Lucerne Festival Orchestra 5,"['Lucerne Festival Orchestra ', ' Jakub Hrůša ', ' Augustin Hadelich']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/01/c3/01c3066b-2425-4d86-a447-d49d6596b64c/210824_lfo_hrusa_c_peterfischli_lucerne_festival_08.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
20.08.2022,Saturday,11.00,JACK Quartet 2,"['JACK Quartet ', ' Soloists of the Lucerne Festival Contemporary Orchestra (LFCO)']","Hochschule Luzern - Music, Salquin Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/da/c2/dac2169a-3c40-479d-8f66-b534479c4335/jackquartet2_c_beowulf_sheehan.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
20.08.2022,Saturday,18.30,Concert Cecilia Bartoli,"['Cecilia Bartoli ', ' Les Musiciens du Prince - Monaco ', ' Gianluca Capuano']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/7f/df/7fdffc5f-026f-4bd2-b7eb-3c1a32eefb00/bartoli_c_uli_weber_decca_3.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
20.08.2022,Saturday,22.00,Lucerne Festival Academy 1,"['Lucerne Festival Contemporary Orchestra (LFCO) ', ' Elena Schwarz ', ' Timothy McAllister ', ' Kirill Gerstein']","KKL Luzern, Lucerne Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/7f/9d/7f9dfd2e-5446-4843-b405-c44b8747f936/schwarzelena_c_axelsaxe.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
21.08.2022,Sunday,11.00,MythenEnsembleOrchestral,"['MythenEnsembleOrchestral ', ' Graziella Contratto']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/e0/c3/e0c3585c-7d7a-40c1-b8b1-d02a6eb1d832/contrattograziella.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
21.08.2022,Sunday,17.00,Duo Adès & Gerstein,"['Thomas Adès ', ' Kirill Gerstein']","KKL Luzern, Lucerne Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/70/7a/707a5f8b-7d20-47be-93f1-f1088a277dfa/thomas_adeskirill_gerstein020_c_marcoborggreve.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
21.08.2022,Sunday,19.30,Mariinsky Orchestra 1,"['Mariinsky Orchestra ', ' Valery Gergiev']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/9d/7f/9d7fa56b-54df-444c-abdd-2cc26d5dd3f1/190831_19333_sk13_mariinsky_gergiev_cpketterer_lucernefestival_05.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
22.08.2022,Monday,19.30,Mariinsky Orchestra 2,"['Mariinsky Orchestra ', ' Valery Gergiev ', ' Daniil Trifonov']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/da/0b/da0b7c1d-00e8-4340-a6b8-6eed51e3c482/trifonov_2021-06_4147_c_darioacostadg.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
23.08.2022,Tuesday,12.15,Debut Randall Goosby,"['Randall Goosby ', ' Anna Han']","Lukaskirche, Kirchensaal",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/67/19/67193e87-717d-4116-bcde-d35358d5cdef/randall_goosby_6_credit_kaupo_kikkas.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
